ym,size_factor,value_factor,mom_factor,qual_factor,lowvol_factor,rev_factor,ewtret,vwtret
1992m2,13.7056,3.8184719,1.4553337,-4.9878607,-3.3416247,2.9840107,2.3,-2.49
1992m3,3.5050364,-3.0807116,-3.2558792,-3.0935001,.73595947,-2.313138,1.55,-1.31
1992m4,-2.4125805,-.47331807,2.5023055,8.6979103,.98312789,1.9083641,-2.71,.23
1992m5,.34781575,-.27593184,1.0459781,-1.4465203,2.414084,.83124566,-.96,2.94
1992m6,2.1979136,-3.7476249,2.7092865,5.5680699,3.4060144,-.43765593,-1.25,-.95
1992m7,-1.9847238,-4.9953327,2.1904168,2.3110542,.60449988,5.2746434,1.96,3.4
1992m8,10.321259,-2.4793079,14.282019,19.442968,1.8131102,-1.9144814,-.65,-1.13
1992m9,-.66855514,-3.1153455,1.6888949,8.5441961,3.0182388,-2.2353175,1.31,2.37
1992m10,-7.3041506,-.84085667,-4.1160231,-3.7002239,-1.3706391,1.7985358,-2.74,-.14
1992m11,-1.2718527,1.2546,-2.362642,1.4488386,2.107394,-.96682143,1.81,1.53
1992m12,.58323932,-7.7361994,6.754456,8.8084106,4.0211535,.24243033,.51,2.22
1993m1,-7.5277739,5.873445,6.0174613,-9.1972599,-1.2493373,4.9309702,7.969999999999999,6.38
1993m2,1.2338874,5.548903,4.1416521,.42953539,.0011075976,-.18962121,7.449999999999999,4.37
1993m3,1.8750486,.30605602,-.11031055,2.0708485,5.9759002,-.034112453,6.98,7.35
1993m4,7.9479604,.6713028,1.7795539,7.014596,3.1372478,.26885796,-.37,-4.399999999999999
1993m5,.28169489,2.5690157,-2.3487356,-1.3731956,-2.3512878,4.021956,-.1,-1.43
1993m6,-1.1709595,-3.8127232,-.73333335,3.3805311,2.1521461,5.1736608,2.25,3.16
1993m7,1.8581836,4.9352164,-3.0310402,.42138654,-1.2455081,.75461674,3.15,1.65
1993m8,3.516372,1.7550848,2.3607268,-1.5527222,1.2655019,.47404933,2.53,2.21
1993m9,-.049043655,3.991178,4.4199257,2.6352201,1.890994,3.3356066,4.760000000000001,4.9
1993m10,1.6433314,1.8308213,-1.032326,-.12325579,-.32204738,.11944497,2.17,-1.13
1993m11,4.1747971,3.2099071,1.6512954,-3.4990358,.71617401,2.3840303,-2.78,-4.91
1993m12,-2.613688,-.83846867,5.7438607,-3.0702558,-2.1840539,6.8088689,.91,.46
1994m1,1.3435318,-.44098616,2.9505625,-2.4732976,.27947345,2.9814811,3.03,2.81
1994m2,-3.7012064,-5.5652628,-.29392171,3.8235049,1.3562893,1.1521091,3.06,3.27
1994m3,1.0642407,-1.3028779,-.59134459,-2.0225663,.4956145,2.282485,-2.49,-3.74
1994m4,-2.1904869,1.6267231,-.054060698,2.4428174,.56087148,.3904686,.75,1.61
1994m5,.33098626,5.5135412,-3.4154487,-1.0957017,.075224072,1.7129644,2.1,1.89
1994m6,5.0695667,3.0398951,.6354537,.75219083,1.2059109,2.9375935,-.26,-1.86
1994m7,1.6153247,2.0574694,1.0184176,-2.6542833,-2.0667143,1.1717325,.51,-.37
1994m8,1.562796,-.92923385,-5.4636574,.59698045,-.016166085,3.6787839,.51,.27
1994m9,-1.5411236,-.58963668,.89306641,-1.2319624,1.8720963,1.7611437,.95,-1.66
1994m10,2.844681,-.15141582,2.6180079,2.6346169,.32248288,3.9467835,-3.12,-3.87
1994m11,2.5617805,-.66372514,-2.4367228,3.7435837,1.2163109,2.435492,-3.35,-3.55
1994m12,-9.6500635,-8.5598011,.5967207,4.8439941,-.45932084,2.2142611,2.99,6.909999999999999
1995m1,5.1005402,7.2012849,2.7156868,-.78252983,.93086785,9.6796532,.9299999999999999,-1.92
1995m2,1.0301776,3.7023427,-2.7969522,-2.9594378,-.055870928,-.45540214,3.85,2.97
1995m3,-.7255615,3.1789646,-1.2404306,6.9576488,1.2789564,2.979708,.39,-.14
1995m4,4.0459332,2.5687439,-.13689181,-4.0180297,-.45995703,2.3212152,1.29,-.08
1995m5,-2.7121971,1.5226994,-.78932023,-3.1125226,1.6551052,1.5308142,3.13,4.26
1995m6,.38987803,-.61066628,.27440202,1.2062067,-.069168359,2.0171826,1.83,2.24
